Regime,Estimator,Absolute_Error,Squared_Error,Error,Samples,RMSE,MAE,Bias,Efficiency
High Volatility,Garman-Klass,0.07517134704663704,0.007492443447669967,-0.0726689015164362,270,0.0865589016084999,0.07517134704663704,-0.0726689015164362,13.302939301462795
High Volatility,Parkinson,0.0694434992018515,0.006332734288045864,-0.06759552479787907,270,0.07957847879952132,0.0694434992018515,-0.06759552479787907,14.400193934515887
High Volatility,Rogers-Satchell,0.07926920550117135,0.00842825965584616,-0.07595213260157181,270,0.09180555351309724,0.07926920550117135,-0.07595213260157181,12.615237752481898
High Volatility,Yang-Zhang,0.02969051515172978,0.0014041025215344187,-0.011668703003287574,270,0.03747135601408653,0.02969051515172978,-0.011668703003287574,33.68077846011894
Jump,Garman-Klass,0.04988323751701366,0.003660837665248137,-0.038439002159222885,64,0.06050485654266224,0.04988323751701366,-0.038439002159222885,20.046810297563933
Jump,Parkinson,0.044741703887408495,0.002919006443580234,-0.036196183650887455,64,0.054027830269040365,0.044741703887408495,-0.036196183650887455,22.35050723618852
Jump,Rogers-Satchell,0.05323792606286364,0.004300236753527281,-0.0390039821008967,64,0.06557619044689376,0.05323792606286364,-0.0390039821008967,18.783598199960167
Jump,Yang-Zhang,0.024650098776187724,0.0011575342222887707,-0.005280816765530527,64,0.0340225546114452,0.024650098776187724,-0.005280816765530527,40.5677722998939
Normal,Garman-Klass,0.039034210827173,0.0021111342046690827,-0.026357222927675172,283,0.045947080480364395,0.039034210827173,-0.026357222927675172,25.618546465358598
Normal,Parkinson,0.03736356120562987,0.0018470716771120017,-0.02815570078283369,283,0.042977571791714825,0.03736356120562987,-0.02815570078283369,26.76403694112949
Normal,Rogers-Satchell,0.03948598787035986,0.002243894667688803,-0.02550877877308075,283,0.04736976533284499,0.03948598787035986,-0.02550877877308075,25.3254331645155
Normal,Yang-Zhang,0.018033532811950317,0.0007925338141191244,0.0065694679608242984,283,0.028151977090767968,0.018033532811950317,0.0065694679608242984,55.45222092118961
Trending,Garman-Klass,0.03613769188292165,0.0022013079449308887,-0.029764772558685773,255,0.04691809826635015,0.03613769188292165,-0.029764772558685773,27.671931193626644
Trending,Parkinson,0.034111203447228136,0.0018477227246422954,-0.02871093116429246,255,0.04298514539515128,0.034111203447228136,-0.02871093116429246,29.31587296204086
Trending,Rogers-Satchell,0.037758138542981816,0.002583990569692765,-0.030347078976364242,255,0.0508329673508518,0.037758138542981816,-0.030347078976364242,26.48434943417987
Trending,Yang-Zhang,0.024967250791333596,0.0012329108394392083,0.0011023641812119825,255,0.03511283012574191,0.024967250791333596,0.0011023641812119825,40.052451422589
